Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nbzw4cc-_6c_63fjndrtfrluflovdpujbbhhww0c-cuibwzdyqwvabockw0qavd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nc6wm5y1ujzlooxhh6tttgoztblxkaovxqhun7gyrzbanykymp7owboceuuqavd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nfq7ggsxp28y-pzw37g28acelpurxgsmfw-qdxlm_rvslegjpjdpehoc9rgqavd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nmwlkxxq26o9vj4fuf4dvbe29yw4hrr52sg37j7mo4ug1uak_obnprocldwqavd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmi-oh94omt5givw7uych0xkwqseaayasaaegjywpd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmi3ohajfet5givgaaach2ptq0ueaayasaaegkh6vd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmi4o3wxeit5giv1asach2qmagzeaayasaaegi8apd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmimovgtliu5givsawach3ecw3meaayasaaegipbfd_bwe,c-21,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaob3vbraueiwaibs5tk1-jjaxhqihf7qst9qn6gyh9g4zqyrvt_oybyrjudqlilhbbvlalbocuukqavd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nbuc66fazi197tvs10pfo1akfnivt-mf1vfwofo3ewjpg0dmm1n2chocpq0qavd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaxmlvbrbneiwakhr-ncn-u8lxwtynalhq235dhs5kw6joeheikch-7ncs7odh64t3znvx1hocyqcqavd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nfrvy-vopjbyj0d_e-dtclqoxgs894wrhiweed3ckwc5bw6ftbp0sboc50cqavd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaxmlvbrbneiwakhr-ngz2p7q3azfypqssewngnxc0siez0haosymzzjmjwgptdxta1f_odxoc6owqavd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nhktijfoxk0yzyjlhwhm4tqtnhr7xnvokcbofbaca0yfiolqxnejlrocjegqavd_bwe,c-24,2,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nog5mptvw0lysqowdjscaabcdl4xkrlo95zum4zea1pv7r98lastjboczjkqavd_bwe,c-24,2,35061
